,Food Item,Price (TZS)
0,FRIDAY SHARING BUCKET,TSh37000.00
1,BOX MASTER,TSh15000.00
2,BOX MASTER MEAL,TSh18000.00
3,4 ZINGER WINGS,TSh6000.00
4,3 CRISPY CHICKEN STRIPS,TSh8000.00
5,6 CRISPY CHICKEN STRIPS,TSh15000.00
6,KIDS MEAL,TSh8000.00
7,CRISPY CHICKEN STRIPS,TSh12000.00
8,STREETWISE 1,TSh8500.00
9,STREETWISE 2,TSh10000.00
10,STREETWISE 3,TSh13000.00
11,STREETWISE 4,TSh17000.00
12,STREETWISE 5,TSh22000.00
13,MEGA BUCKET - OR,TSh48000.00
14,BARGAIN BUCKET - HC,TSh30000.00
15,9 PIECE CHICKEN,TSh28000.00
16,12 PIECES CHICKEN,TSh37000.00
17,15 PIECE CHICKEN,TSh45000.00
18,21 PIECE CHICKEN,TSh60000.00
19,COLONEL BURGER,TSh11000.00
20,ZINGER BURGER,TSh11000.00
21,TOWER BURGER-HC,TSh15000.00
22,FULLY LOADED BOX,TSh21000.00
23,1 PIECE CHICKEN,TSh4500.00
24,2 PIECE CHICKEN,TSh7000.00
25,REGULAR CHIPS,TSh4000.00
26,LARGE CHIPS,TSh6000.00
27,FAMILY CHIPS,TSh10000.00
28,REGULAR COLESLAW,TSh4000.00
29,LARGE COLESLAW,TSh6500.00
30,SODA 600ML,TSh2500.00
31,1.25LT DRINK,TSh4000.00
32,WATER,TSh2000.00
33,STREETWISE 1,TSh8500.00
34,STREETWISE 2,TSh10000.00
35,STREETWISE 3,TSh13000.00
36,STREETWISE 5,TSh22000.00
37,MEGA BUCKET - OR,TSh48000.00
38,BARGAIN BUCKET - HC,TSh30000.00
39,9 PIECE CHICKEN-OR,TSh28000.00
40,12 PIECE CHICKEN-OR,TSh37000.00
41,15 PIECE CHICKEN-OR,TSh45000.00
42,21 PIECE CHICKEN-OR,TSh60000.00
43,COLONEL BURGER,TSh11000.00
44,ZINGER BURGER,TSh11000.00
45,TOWER BURGER-OR,TSh15000.00
46,TOWER BURGER-HC,TSh15000.00
47,FULLY LOADED BOX,TSh21000.00
